,Unnamed: 0,startDt,endDt,device,sleep_score,total_sleep_time,time_in_bed,waso,wakeupcount,aal,movement_index,fragmentation_index,sleep_frag_index,startdt1,enddt1,count,date,userId,walk,exer,userName,gps_activity_distance
0,0,16NOV18:00:53:00,16NOV18:07:37:00,Fitbit,91.4400806,27240,29790,,,,,,,20181116,20181116,1,2018-11-15,user01,15,0,user01,0.0
1,1,17NOV18:03:36:00,17NOV18:16:09:00,Fitbit,90.8004779,22800,25110,,,,,,,20181117,20181117,1,2018-11-16,user01,53,0,user01,0.0
2,2,18NOV18:05:06:00,18NOV18:11:08:00,Fitbit,91.9842313,21000,22830,,,,,,,20181118,20181118,1,2018-11-17,user01,28,0,user01,0.0
3,3,19NOV18:01:54:00,19NOV18:07:47:00,Fitbit,88.4823848,19590,22140,,,,,,,20181119,20181119,1,2018-11-18,user01,33,0,user01,0.0
4,4,20NOV18:01:38:00,20NOV18:07:30:00,Fitbit,88.7816647,22080,24870,,,,,,,20181120,20181120,1,2018-11-19,user01,52,0,user01,0.0
5,5,21NOV18:01:38:00,21NOV18:08:35:00,Fitbit,91.8072289,22860,24900,,,,,,,20181121,20181121,2,2018-11-20,user01,0,0,,
6,6,21NOV18:23:52:00,22NOV18:07:37:00,Fitbit,92.4031008,17880,19350,,,,,,,20181121,20181122,2,2018-11-21,user01,41,0,user01,0.0
7,7,23NOV18:02:07:00,23NOV18:07:17:00,Fitbit,82.5613079,18180,22020,,,,,,,20181123,20181123,1,2018-11-22,user01,20,0,user01,0.0
8,8,24NOV18:00:04:00,24NOV18:06:24:00,Fitbit,92.1763869,19440,21090,,,,,,,20181124,20181124,1,2018-11-23,user01,50,0,user01,0.0
9,9,25NOV18:05:37:00,25NOV18:15:59:00,Fitbit,86.5577889,20670,23880,,,,,,,20181125,20181125,1,2018-11-24,user01,163,0,user01,0.0
10,10,26NOV18:01:58:00,26NOV18:07:44:00,Fitbit,88.1736527,17670,20040,,,,,,,20181126,20181126,1,2018-11-25,user01,44,0,user01,0.0
11,11,27NOV18:00:55:00,27NOV18:07:38:00,Fitbit,90.6942393,18420,20310,,,,,,,20181127,20181127,1,2018-11-26,user01,32,0,user01,212.23948606057547
